ORIG_NUTS2016,DEST_NUTS2016,Annee,ORIG_NUTS2016_LIBELLE,DEST_NUTS2016_LIBELLE,ORIG_NUTS2016_longitude,ORIG_NUTS2016_latitude,DEST_NUTS2016_longitude,DEST_NUTS2016_latitude,TKM,OBS
FR10,FRB0,2019,Ile-de-France,Centre - Val de Loire,2.5126778168966926,48.71111061881788,1.6844589773536802,47.47698015914326,1812942343.644,1577
FR10,FRC1,2019,Ile-de-France,Bourgogne,2.5126778168966926,48.71111061881788,4.149827466530946,47.24581111170671,886804453.51,689
FRB0,FRC1,2019,Centre - Val de Loire,Bourgogne,1.6844589773536802,47.47698015914326,4.149827466530946,47.24581111170671,612757672.519,505
FR10,FRC2,2019,Ile-de-France,Franche-Comté,2.5126778168966926,48.71111061881788,6.088355098025775,47.21023150010789,366957761.48399997,202
FRB0,FRC2,2019,Centre - Val de Loire,Franche-Comté,1.6844589773536802,47.47698015914326,6.088355098025775,47.21023150010789,185797433.02,86
FRC1,FRC2,2019,Bourgogne,Franche-Comté,4.149827466530946,47.24581111170671,6.088355098025775,47.21023150010789,393555937.681,444
FR10,FRD1,2019,Ile-de-France,Basse-Normandie,2.5126778168966926,48.71111061881788,-0.5253580705752342,48.92425397763805,737090094.275,525
FRB0,FRD1,2019,Centre - Val de Loire,Basse-Normandie,1.6844589773536802,47.47698015914326,-0.5253580705752342,48.92425397763805,297390163.957,257
FRC1,FRD1,2019,Bourgogne,Basse-Normandie,4.149827466530946,47.24581111170671,-0.5253580705752342,48.92425397763805,128588285.205,66
FRC2,FRD1,2019,Franche-Comté,Basse-Normandie,6.088355098025775,47.21023150010789,-0.5253580705752342,48.92425397763805,100903836.012,40
FR10,FRD2,2019,Ile-de-France,Haute-Normandie,2.5126778168966926,48.71111061881788,1.0186775661706347,49.38989471352676,1172932377.895,1197
FRB0,FRD2,2019,Centre - Val de Loire,Haute-Normandie,1.6844589773536802,47.47698015914326,1.0186775661706347,49.38989471352676,919931416.3379999,639
FRC1,FRD2,2019,Bourgogne,Haute-Normandie,4.149827466530946,47.24581111170671,1.0186775661706347,49.38989471352676,584169141.939,209
FRC2,FRD2,2019,Franche-Comté,Haute-Normandie,6.088355098025775,47.21023150010789,1.0186775661706347,49.38989471352676,119649955.285,51
FRD1,FRD2,2019,Basse-Normandie,Haute-Normandie,-0.5253580705752342,48.92425397763805,1.0186775661706347,49.38989471352676,1030292081.22,940
FR,FRE1,2019,FRANCE,Nord-Pas de Calais,2.4585684533566607,46.61951059922641,2.7364281755657203,50.464781898985606,32035111.986,10
FR10,FRE1,2019,Ile-de-France,Nord-Pas de Calais,2.5126778168966926,48.71111061881788,2.7364281755657203,50.464781898985606,1958865666.249,1264
FRB0,FRE1,2019,Centre - Val de Loire,Nord-Pas de Calais,1.6844589773536802,47.47698015914326,2.7364281755657203,50.464781898985606,834796643.805,384
FRC1,FRE1,2019,Bourgogne,Nord-Pas de Calais,4.149827466530946,47.24581111170671,2.7364281755657203,50.464781898985606,881155728.7279999,237
FRC2,FRE1,2019,Franche-Comté,Nord-Pas de Calais,6.088355098025775,47.21023150010789,2.7364281755657203,50.464781898985606,187138948.691,89
FRD1,FRE1,2019,Basse-Normandie,Nord-Pas de Calais,-0.5253580705752342,48.92425397763805,2.7364281755657203,50.464781898985606,344515794.257,189
FRD2,FRE1,2019,Haute-Normandie,Nord-Pas de Calais,1.0186775661706347,49.38989471352676,2.7364281755657203,50.464781898985606,860676053.2,564
FR10,FRE2,2019,Ile-de-France,Picardie,2.5126778168966926,48.71111061881788,2.80803284695234,49.6422978619351,1488961886.136,1518
FRB0,FRE2,2019,Centre - Val de Loire,Picardie,1.6844589773536802,47.47698015914326,2.80803284695234,49.6422978619351,496803157.586,369
FRC1,FRE2,2019,Bourgogne,Picardie,4.149827466530946,47.24581111170671,2.80803284695234,49.6422978619351,230235556.786,131
FRC2,FRE2,2019,Franche-Comté,Picardie,6.088355098025775,47.21023150010789,2.80803284695234,49.6422978619351,165159869.81,79
FRD1,FRE2,2019,Basse-Normandie,Picardie,-0.5253580705752342,48.92425397763805,2.80803284695234,49.6422978619351,202196649.467,143
FRD2,FRE2,2019,Haute-Normandie,Picardie,1.0186775661706347,49.38989471352676,2.80803284695234,49.6422978619351,879222349.773,786
FRE1,FRE2,2019,Nord-Pas de Calais,Picardie,2.7364281755657203,50.464781898985606,2.80803284695234,49.6422978619351,1774407049.294,1447
FR10,FRF1,2019,Ile-de-France,Alsace,2.5126778168966926,48.71111061881788,7.436200924052185,48.32705938477372,546165469.693,244
FRB0,FRF1,2019,Centre - Val de Loire,Alsace,1.6844589773536802,47.47698015914326,7.436200924052185,48.32705938477372,255843786.976,108
FRC1,FRF1,2019,Bourgogne,Alsace,4.149827466530946,47.24581111170671,7.436200924052185,48.32705938477372,315963219.727,172
FRC2,FRF1,2019,Franche-Comté,Alsace,6.088355098025775,47.21023150010789,7.436200924052185,48.32705938477372,368982724.847,365
FRD1,FRF1,2019,Basse-Normandie,Alsace,-0.5253580705752342,48.92425397763805,7.436200924052185,48.32705938477372,66162303.078999996,33
FRD2,FRF1,2019,Haute-Normandie,Alsace,1.0186775661706347,49.38989471352676,7.436200924052185,48.32705938477372,142463877.493,54
FRE1,FRF1,2019,Nord-Pas de Calais,Alsace,2.7364281755657203,50.464781898985606,7.436200924052185,48.32705938477372,302042607.177,123
FRE2,FRF1,2019,Picardie,Alsace,2.80803284695234,49.6422978619351,7.436200924052185,48.32705938477372,246145297.212,114
